layers;activation;solver;lr;epochs;acc;f1
(50, 100);tanh;sgd;0.1;300;9.93;9.93
(50, 100);tanh;sgd;0.1;500;9.93;9.93
(50, 100);tanh;sgd;0.1;1000;9.93;9.93
(50, 100);tanh;sgd;0.2;200;9.93;9.93
(50, 100);tanh;sgd;0.2;300;9.93;9.93
(50, 100);tanh;sgd;0.2;500;9.93;9.93
(50, 100);tanh;sgd;0.2;1000;9.93;9.93
(50, 100);relu;lbfgs;0.001;200;9.93;9.93
(50, 100);relu;lbfgs;0.001;300;9.91;9.91
(50, 100);relu;lbfgs;0.001;500;9.91;9.91
(50, 100);relu;lbfgs;0.001;1000;9.93;9.93
(50, 100);relu;lbfgs;0.01;200;9.93;9.93
(50, 100);relu;lbfgs;0.01;300;9.93;9.93
(50, 100);relu;lbfgs;0.01;500;9.93;9.93
(50, 100);relu;lbfgs;0.01;1000;9.93;9.93
(50, 100);relu;lbfgs;0.1;200;9.93;9.93
(50, 100);relu;lbfgs;0.1;300;9.93;9.93
(50, 100);relu;lbfgs;0.1;500;9.93;9.93
(50, 100);relu;lbfgs;0.1;1000;9.93;9.93
(50, 100);relu;lbfgs;0.2;200;9.93;9.93
(50, 100);relu;lbfgs;0.2;300;9.93;9.93
(50, 100);relu;lbfgs;0.2;500;9.93;9.93
(50, 100);relu;lbfgs;0.2;1000;9.95;9.95
(50, 100);relu;adam;0.001;200;9.95;9.95
(50, 100);relu;adam;0.001;300;9.93;9.93
(50, 100);relu;adam;0.001;500;9.95;9.95
(50, 100);relu;adam;0.001;1000;9.93;9.93
(50, 100);relu;adam;0.01;200;9.93;9.93
(50, 100);relu;adam;0.01;300;9.95;9.95
(50, 100);relu;adam;0.01;500;9.95;9.95
(50, 100);relu;adam;0.01;1000;9.95;9.95
(50, 100);relu;adam;0.1;200;9.95;9.95
(50, 100);relu;adam;0.1;300;9.95;9.95
(50, 100);relu;adam;0.1;500;9.95;9.95
(50, 100);relu;adam;0.1;1000;9.95;9.95
(50, 100);relu;adam;0.2;200;9.93;9.93
(50, 100);relu;adam;0.2;300;9.93;9.93
(50, 100);relu;adam;0.2;500;9.95;9.95
(50, 100);relu;adam;0.2;1000;9.89;9.89
(50, 100);relu;sgd;0.001;200;9.91;9.91
(50, 100);relu;sgd;0.001;300;9.93;9.93
(50, 100);relu;sgd;0.001;500;9.93;9.93
(50, 100);relu;sgd;0.001;1000;9.93;9.93
(50, 100);relu;sgd;0.01;200;9.95;9.95
(50, 100);relu;sgd;0.01;300;9.95;9.95
(50, 100);relu;sgd;0.01;500;9.95;9.95
(50, 100);relu;sgd;0.01;1000;9.95;9.95
(50, 100);relu;sgd;0.1;200;9.93;9.93
(50, 100);relu;sgd;0.1;300;9.93;9.93
(50, 100);relu;sgd;0.1;500;9.93;9.93
(50, 100);relu;sgd;0.1;1000;9.93;9.93
(50, 100);relu;sgd;0.2;200;9.93;9.93
(50, 100);relu;sgd;0.2;300;9.93;9.93
(50, 100);relu;sgd;0.2;500;9.93;9.93
(50, 100);relu;sgd;0.2;1000;9.93;9.93
(100, 100);identity;lbfgs;0.001;200;9.98;9.98
(100, 100);identity;lbfgs;0.001;300;9.98;9.98
(100, 100);identity;lbfgs;0.001;500;9.98;9.98
(100, 100);identity;lbfgs;0.001;1000;9.95;9.95
(100, 100);identity;lbfgs;0.01;200;9.98;9.98
(100, 100);identity;lbfgs;0.01;300;9.98;9.98
(100, 100);identity;lbfgs;0.01;500;9.98;9.98
(100, 100);identity;lbfgs;0.01;1000;9.98;9.98
(100, 100);identity;lbfgs;0.1;200;9.98;9.98
(100, 100);identity;lbfgs;0.1;300;9.98;9.98
(100, 100);identity;lbfgs;0.1;500;9.98;9.98
(100, 100);identity;lbfgs;0.1;1000;9.98;9.98
(100, 100);identity;lbfgs;0.2;200;9.98;9.98
(100, 100);identity;lbfgs;0.2;300;9.98;9.98
(100, 100);identity;lbfgs;0.2;500;9.98;9.98
(100, 100);identity;lbfgs;0.2;1000;9.98;9.98
(100, 100);identity;adam;0.001;200;9.95;9.95
(100, 100);identity;adam;0.001;300;9.95;9.95
(100, 100);identity;adam;0.001;500;9.95;9.95
(100, 100);identity;adam;0.001;1000;9.95;9.95
(100, 100);identity;adam;0.01;200;9.93;9.93
(100, 100);identity;adam;0.01;300;9.95;9.95
(100, 100);identity;adam;0.01;500;9.91;9.91
(100, 100);identity;adam;0.01;1000;9.93;9.93
(100, 100);identity;adam;0.1;200;9.93;9.93
(100, 100);identity;adam;0.1;300;9.95;9.95
(100, 100);identity;adam;0.1;500;3.54;4.67
(100, 100);identity;adam;0.1;1000;9.98;9.98
(100, 100);identity;adam;0.2;200;9.86;9.86
(100, 100);identity;adam;0.2;300;9.89;9.89
(100, 100);identity;adam;0.2;500;9.77;9.77
(100, 100);identity;adam;0.2;1000;9.84;9.84
(100, 100);identity;sgd;0.001;200;9.93;9.93
(100, 100);identity;sgd;0.001;300;9.93;9.93
(100, 100);identity;sgd;0.001;500;9.95;9.95
(100, 100);identity;sgd;0.001;1000;9.95;9.95
(100, 100);identity;sgd;0.01;200;9.95;9.95
(100, 100);identity;sgd;0.01;300;9.95;9.95
(100, 100);identity;sgd;0.01;500;9.95;9.95
(100, 100);identity;sgd;0.01;1000;9.93;9.93
(100, 100);identity;sgd;0.1;200;9.95;9.95
(100, 100);identity;sgd;0.1;300;9.95;9.95
(100, 100);identity;sgd;0.1;500;9.95;9.95
(100, 100);identity;sgd;0.1;1000;9.93;9.93
(100, 100);identity;sgd;0.2;200;9.95;9.95
(100, 100);identity;sgd;0.2;300;9.93;9.93
(100, 100);identity;sgd;0.2;500;9.91;9.91
(100, 100);identity;sgd;0.2;1000;9.95;9.95
(100, 100);logistic;lbfgs;0.001;200;9.95;9.95
(100, 100);logistic;lbfgs;0.001;300;9.95;9.95
(100, 100);logistic;lbfgs;0.001;500;9.95;9.95
(100, 100);logistic;lbfgs;0.001;1000;9.93;9.93
(100, 100);logistic;lbfgs;0.01;200;9.95;9.95
(100, 100);logistic;lbfgs;0.01;300;9.95;9.95
(100, 100);logistic;lbfgs;0.01;500;9.95;9.95
(100, 100);logistic;lbfgs;0.01;1000;9.95;9.95
(100, 100);logistic;lbfgs;0.1;200;9.95;9.95
(100, 100);logistic;lbfgs;0.1;300;9.93;9.93
(100, 100);logistic;lbfgs;0.1;500;9.93;9.93
(100, 100);logistic;lbfgs;0.1;1000;9.95;9.95
(100, 100);logistic;lbfgs;0.2;200;9.95;9.95
(100, 100);logistic;lbfgs;0.2;300;9.95;9.95
(100, 100);logistic;lbfgs;0.2;500;9.95;9.95
(100, 100);logistic;lbfgs;0.2;1000;9.95;9.95
(100, 100);logistic;adam;0.001;200;9.93;9.93
(100, 100);logistic;adam;0.001;300;9.93;9.93
(100, 100);logistic;adam;0.001;500;9.93;9.93
(100, 100);logistic;adam;0.001;1000;9.93;9.93
(100, 100);logistic;adam;0.01;200;9.93;9.93
(100, 100);logistic;adam;0.01;300;9.93;9.93
(100, 100);logistic;adam;0.01;500;9.95;9.95
(100, 100);logistic;adam;0.01;1000;9.95;9.95
(100, 100);logistic;adam;0.1;200;9.95;9.95
(100, 100);logistic;adam;0.1;300;9.95;9.95
(100, 100);logistic;adam;0.1;500;3.54;5.23
(100, 100);logistic;adam;0.1;1000;9.95;9.95
(100, 100);logistic;adam;0.2;200;9.95;9.95
(100, 100);logistic;adam;0.2;300;6.71;7.80
(100, 100);logistic;adam;0.2;500;9.93;9.93
(100, 100);logistic;adam;0.2;1000;9.95;9.95
(100, 100);logistic;sgd;0.001;200;3.15;4.78
(100, 100);logistic;sgd;0.001;300;6.24;7.21
(100, 100);logistic;sgd;0.001;500;6.98;7.74
(100, 100);logistic;sgd;0.001;1000;9.91;9.91
(100, 100);logistic;sgd;0.01;200;9.93;9.93
(100, 100);logistic;sgd;0.01;300;9.95;9.95
(100, 100);logistic;sgd;0.01;500;9.95;9.95
(100, 100);logistic;sgd;0.01;1000;9.95;9.95
(100, 100);logistic;sgd;0.1;200;9.93;9.93
(100, 100);logistic;sgd;0.1;300;9.93;9.93
(100, 100);logistic;sgd;0.1;500;9.93;9.93
(100, 100);logistic;sgd;0.1;1000;9.93;9.93
(100, 100);logistic;sgd;0.2;200;9.93;9.93
(100, 100);logistic;sgd;0.2;300;9.93;9.93
(100, 100);logistic;sgd;0.2;500;9.93;9.93
(100, 100);logistic;sgd;0.2;1000;9.93;9.93
(100, 100);tanh;lbfgs;0.001;200;9.93;9.93
(100, 100);tanh;lbfgs;0.001;300;9.91;9.91
(100, 100);tanh;lbfgs;0.001;500;9.91;9.91
(100, 100);tanh;lbfgs;0.001;1000;9.91;9.91
(100, 100);tanh;lbfgs;0.01;200;9.93;9.93
(100, 100);tanh;lbfgs;0.01;300;9.93;9.93
(100, 100);tanh;lbfgs;0.01;500;9.93;9.93
(100, 100);tanh;lbfgs;0.01;1000;9.91;9.91
(100, 100);tanh;lbfgs;0.1;200;9.93;9.93
(100, 100);tanh;lbfgs;0.1;300;9.91;9.91
(100, 100);tanh;lbfgs;0.1;500;9.93;9.93
(100, 100);tanh;lbfgs;0.1;1000;9.91;9.91
(100, 100);tanh;lbfgs;0.2;200;9.93;9.93
(100, 100);tanh;lbfgs;0.2;300;9.91;9.91
(100, 100);tanh;lbfgs;0.2;500;9.91;9.91
(100, 100);tanh;lbfgs;0.2;1000;9.93;9.93
(100, 100);tanh;adam;0.001;200;9.93;9.93
(100, 100);tanh;adam;0.001;300;9.93;9.93
(100, 100);tanh;adam;0.001;500;9.93;9.93
(100, 100);tanh;adam;0.001;1000;9.93;9.93
(100, 100);tanh;adam;0.01;200;9.95;9.95
(100, 100);tanh;adam;0.01;300;9.95;9.95
(100, 100);tanh;adam;0.01;500;9.95;9.95
(100, 100);tanh;adam;0.01;1000;9.95;9.95
(100, 100);tanh;adam;0.1;200;9.95;9.95
(100, 100);tanh;adam;0.1;300;9.95;9.95
(100, 100);tanh;adam;0.1;500;9.93;9.93
(100, 100);tanh;adam;0.1;1000;9.95;9.95
(100, 100);tanh;adam;0.2;200;9.91;9.91
(100, 100);tanh;adam;0.2;300;9.93;9.93
(100, 100);tanh;adam;0.2;500;9.95;9.95
(100, 100);tanh;adam;0.2;1000;9.93;9.93
(100, 100);tanh;sgd;0.001;200;9.93;9.93
(100, 100);tanh;sgd;0.001;300;9.93;9.93
(100, 100);tanh;sgd;0.001;500;9.95;9.95
(100, 100);tanh;sgd;0.001;1000;9.95;9.95
(100, 100);tanh;sgd;0.01;200;9.93;9.93
(100, 100);tanh;sgd;0.01;300;9.93;9.93
(100, 100);tanh;sgd;0.01;500;9.93;9.93
(100, 100);tanh;sgd;0.01;1000;9.93;9.93
(100, 100);tanh;sgd;0.1;200;9.93;9.93
(100, 100);tanh;sgd;0.1;300;9.93;9.93
(100, 100);tanh;sgd;0.1;500;9.93;9.93
(100, 100);tanh;sgd;0.1;1000;9.93;9.93
(100, 100);tanh;sgd;0.2;200;9.93;9.93
(100, 100);tanh;sgd;0.2;300;9.93;9.93
(100, 100);tanh;sgd;0.2;500;9.93;9.93
(100, 100);tanh;sgd;0.2;1000;9.93;9.93
(100, 100);relu;lbfgs;0.001;200;9.93;9.93
(100, 100);relu;lbfgs;0.001;300;9.93;9.93
(100, 100);relu;lbfgs;0.001;500;9.93;9.93
(100, 100);relu;lbfgs;0.001;1000;9.93;9.93
(100, 100);relu;lbfgs;0.01;200;9.95;9.95
(100, 100);relu;lbfgs;0.01;300;9.93;9.93
(100, 100);relu;lbfgs;0.01;500;9.93;9.93
(100, 100);relu;lbfgs;0.01;1000;9.93;9.93
(100, 100);relu;lbfgs;0.1;200;9.93;9.93
(100, 100);relu;lbfgs;0.1;300;9.95;9.95
(100, 100);relu;lbfgs;0.1;500;9.93;9.93
(100, 100);relu;lbfgs;0.1;1000;9.91;9.91
(100, 100);relu;lbfgs;0.2;200;9.95;9.95
(100, 100);relu;lbfgs;0.2;300;9.91;9.91
(100, 100);relu;lbfgs;0.2;500;9.95;9.95
(100, 100);relu;lbfgs;0.2;1000;9.93;9.93
(100, 100);relu;adam;0.001;200;9.93;9.93
(100, 100);relu;adam;0.001;300;9.93;9.93
(100, 100);relu;adam;0.001;500;9.95;9.95
(100, 100);relu;adam;0.001;1000;9.93;9.93
(100, 100);relu;adam;0.01;200;9.95;9.95
(100, 100);relu;adam;0.01;300;9.93;9.93
(100, 100);relu;adam;0.01;500;9.95;9.95
(100, 100);relu;adam;0.01;1000;9.95;9.95
(100, 100);relu;adam;0.1;200;9.95;9.95
(100, 100);relu;adam;0.1;300;9.95;9.95
(100, 100);relu;adam;0.1;500;9.95;9.95
(100, 100);relu;adam;0.1;1000;9.93;9.93
(100, 100);relu;adam;0.2;200;9.95;9.95
(100, 100);relu;adam;0.2;300;9.95;9.95
(100, 100);relu;adam;0.2;500;9.93;9.93
(100, 100);relu;adam;0.2;1000;9.95;9.95
(100, 100);relu;sgd;0.001;200;9.91;9.91
(100, 100);relu;sgd;0.001;300;9.93;9.93
(100, 100);relu;sgd;0.001;500;9.93;9.93
(100, 100);relu;sgd;0.001;1000;9.93;9.93
(100, 100);relu;sgd;0.01;200;9.95;9.95
(100, 100);relu;sgd;0.01;300;9.95;9.95
(100, 100);relu;sgd;0.01;500;9.95;9.95
(100, 100);relu;sgd;0.01;1000;9.95;9.95
(100, 100);relu;sgd;0.1;200;9.93;9.93
(100, 100);relu;sgd;0.1;300;9.93;9.93
(100, 100);relu;sgd;0.1;500;9.93;9.93
(100, 100);relu;sgd;0.1;1000;9.93;9.93
(100, 100);relu;sgd;0.2;200;9.93;9.93
(100, 100);relu;sgd;0.2;300;9.93;9.93
(100, 100);relu;sgd;0.2;500;9.95;9.95
(100, 100);relu;sgd;0.2;1000;9.93;9.93
(50, 100, 200);identity;lbfgs;0.001;200;9.98;9.98
(50, 100, 200);identity;lbfgs;0.001;300;9.98;9.98
(50, 100, 200);identity;lbfgs;0.001;500;9.98;9.98
(50, 100, 200);identity;lbfgs;0.001;1000;9.98;9.98
(50, 100, 200);identity;lbfgs;0.01;200;9.98;9.98
(50, 100, 200);identity;lbfgs;0.01;300;9.98;9.98
(50, 100, 200);identity;lbfgs;0.01;500;9.98;9.98
(50, 100, 200);identity;lbfgs;0.01;1000;9.98;9.98
(50, 100, 200);identity;lbfgs;0.1;200;9.98;9.98
(50, 100, 200);identity;lbfgs;0.1;300;9.98;9.98
(50, 100, 200);identity;lbfgs;0.1;500;9.98;9.98
(50, 100, 200);identity;lbfgs;0.1;1000;9.98;9.98
(50, 100, 200);identity;lbfgs;0.2;200;9.98;9.98
(50, 100, 200);identity;lbfgs;0.2;300;9.98;9.98
(50, 100, 200);identity;lbfgs;0.2;500;9.98;9.98
(50, 100, 200);identity;lbfgs;0.2;1000;9.98;9.98
(50, 100, 200);identity;adam;0.001;200;9.95;9.95
(50, 100, 200);identity;adam;0.001;300;9.95;9.95
(50, 100, 200);identity;adam;0.001;500;9.95;9.95
(50, 100, 200);identity;adam;0.001;1000;9.95;9.95
(50, 100, 200);identity;adam;0.01;200;9.95;9.95
(50, 100, 200);identity;adam;0.01;300;9.95;9.95
(50, 100, 200);identity;adam;0.01;500;9.95;9.95
(50, 100, 200);identity;adam;0.01;1000;9.95;9.95
(50, 100, 200);identity;adam;0.1;200;9.84;9.84
(50, 100, 200);identity;adam;0.1;300;9.18;9.18
(50, 100, 200);identity;adam;0.1;500;9.91;9.91
(50, 100, 200);identity;adam;0.1;1000;9.95;9.95
(50, 100, 200);identity;adam;0.2;200;6.73;7.97
(50, 100, 200);identity;adam;0.2;300;9.91;9.91
(50, 100, 200);identity;adam;0.2;500;9.95;9.95
(50, 100, 200);identity;adam;0.2;1000;9.86;9.86
(50, 100, 200);identity;sgd;0.001;200;9.95;9.95
(50, 100, 200);identity;sgd;0.001;300;9.95;9.95
(50, 100, 200);identity;sgd;0.001;500;9.95;9.95
(50, 100, 200);identity;sgd;0.001;1000;9.95;9.95
(50, 100, 200);identity;sgd;0.01;200;9.93;9.93
(50, 100, 200);identity;sgd;0.01;300;9.93;9.93
(50, 100, 200);identity;sgd;0.01;500;9.95;9.95
(50, 100, 200);identity;sgd;0.01;1000;9.95;9.95
(50, 100, 200);identity;sgd;0.1;200;9.95;9.95
(50, 100, 200);identity;sgd;0.1;300;9.93;9.93
(50, 100, 200);identity;sgd;0.1;500;9.93;9.93
(50, 100, 200);logistic;lbfgs;0.001;200;9.93;9.93
(50, 100, 200);logistic;lbfgs;0.001;300;9.93;9.93
(50, 100, 200);logistic;lbfgs;0.001;500;9.95;9.95
(50, 100, 200);logistic;lbfgs;0.001;1000;9.95;9.95
(50, 100, 200);logistic;lbfgs;0.01;200;9.95;9.95
(50, 100, 200);logistic;lbfgs;0.01;300;9.95;9.95
(50, 100, 200);logistic;lbfgs;0.01;500;9.93;9.93
(50, 100, 200);logistic;lbfgs;0.01;1000;9.93;9.93
(50, 100, 200);logistic;lbfgs;0.1;200;9.95;9.95
(50, 100, 200);logistic;lbfgs;0.1;300;9.95;9.95
(50, 100, 200);logistic;lbfgs;0.1;500;9.95;9.95
(50, 100, 200);logistic;lbfgs;0.1;1000;9.95;9.95
(50, 100, 200);logistic;lbfgs;0.2;200;9.93;9.93
(50, 100, 200);logistic;lbfgs;0.2;300;9.93;9.93
(50, 100, 200);logistic;lbfgs;0.2;500;9.95;9.95
(50, 100, 200);logistic;lbfgs;0.2;1000;9.93;9.93
(50, 100, 200);logistic;adam;0.001;200;9.93;9.93
(50, 100, 200);logistic;adam;0.001;300;9.93;9.93
(50, 100, 200);logistic;adam;0.001;500;9.93;9.93
(50, 100, 200);logistic;adam;0.001;1000;9.93;9.93
(50, 100, 200);logistic;adam;0.01;200;9.95;9.95
(50, 100, 200);logistic;adam;0.01;300;9.93;9.93
(50, 100, 200);logistic;adam;0.01;500;9.95;9.95
(50, 100, 200);logistic;adam;0.01;1000;9.91;9.91
(50, 100, 200);logistic;adam;0.1;200;3.17;4.82
(50, 100, 200);logistic;adam;0.1;300;3.29;4.95
(50, 100, 200);logistic;adam;0.1;500;3.29;4.95
(50, 100, 200);logistic;adam;0.1;1000;6.71;7.83
(50, 100, 200);logistic;adam;0.2;200;3.17;4.82
(50, 100, 200);logistic;adam;0.2;300;3.17;4.82
(50, 100, 200);logistic;adam;0.2;500;3.54;5.23
(50, 100, 200);logistic;adam;0.2;1000;3.29;4.95
(50, 100, 200);logistic;sgd;0.001;200;3.17;4.82
(50, 100, 200);logistic;sgd;0.001;300;3.17;4.82
(50, 100, 200);logistic;sgd;0.001;500;3.17;4.82
(50, 100, 200);logistic;sgd;0.001;1000;3.17;4.82
(50, 100, 200);logistic;sgd;0.01;200;3.17;4.82
(50, 100, 200);logistic;sgd;0.01;300;3.17;4.82
(50, 100, 200);logistic;sgd;0.01;500;3.54;5.23
(50, 100, 200);logistic;sgd;0.01;1000;3.17;4.82
(50, 100, 200);logistic;sgd;0.1;200;9.93;9.93
(50, 100, 200);logistic;sgd;0.1;300;3.29;4.95
(50, 100, 200);logistic;sgd;0.1;500;9.93;9.93
(50, 100, 200);logistic;sgd;0.1;1000;9.93;9.93
(50, 100, 200);logistic;sgd;0.2;200;9.93;9.93
(50, 100, 200);logistic;sgd;0.2;300;3.17;4.82
(50, 100, 200);logistic;sgd;0.2;500;9.93;9.93
(50, 100, 200);logistic;sgd;0.2;1000;9.93;9.93
(50, 100, 200);tanh;lbfgs;0.001;200;9.93;9.93
(50, 100, 200);tanh;lbfgs;0.001;300;9.91;9.91
(50, 100, 200);tanh;lbfgs;0.001;500;9.91;9.91
(50, 100, 200);tanh;lbfgs;0.001;1000;9.93;9.93
(50, 100, 200);tanh;lbfgs;0.01;200;9.93;9.93
(50, 100, 200);tanh;lbfgs;0.01;300;9.93;9.93
(50, 100, 200);tanh;lbfgs;0.01;500;9.91;9.91
(50, 100, 200);tanh;lbfgs;0.01;1000;9.91;9.91
(50, 100, 200);tanh;lbfgs;0.1;200;9.91;9.91
(50, 100, 200);tanh;lbfgs;0.1;300;9.91;9.91
(50, 100, 200);tanh;lbfgs;0.1;500;9.93;9.93
(50, 100, 200);tanh;lbfgs;0.1;1000;9.91;9.91
(50, 100, 200);tanh;lbfgs;0.2;200;9.91;9.91
(50, 100, 200);tanh;lbfgs;0.2;300;9.91;9.91
(50, 100, 200);tanh;lbfgs;0.2;500;9.91;9.91
(50, 100, 200);tanh;lbfgs;0.2;1000;9.91;9.91
(50, 100, 200);tanh;adam;0.001;200;9.95;9.95
(50, 100, 200);tanh;adam;0.001;300;9.93;9.93
(50, 100, 200);tanh;adam;0.001;500;9.93;9.93
(50, 100, 200);tanh;adam;0.001;1000;9.93;9.93
(50, 100, 200);tanh;adam;0.01;200;9.95;9.95
(50, 100, 200);tanh;adam;0.01;300;9.95;9.95
(50, 100, 200);tanh;adam;0.01;500;9.95;9.95
(50, 100, 200);tanh;adam;0.01;1000;9.95;9.95
(50, 100, 200);tanh;adam;0.1;200;9.86;9.86
(50, 100, 200);tanh;adam;0.1;300;6.71;7.80
(50, 100, 200);tanh;adam;0.1;500;9.71;9.70
(50, 100, 200);tanh;adam;0.1;1000;6.73;7.79
(50, 100, 200);tanh;adam;0.2;200;9.86;9.86
(50, 100, 200);tanh;adam;0.2;300;9.80;9.79
(50, 100, 200);tanh;adam;0.2;500;6.96;7.76
(50, 100, 200);tanh;adam;0.2;1000;9.95;9.95
(50, 100, 200);tanh;sgd;0.001;200;9.93;9.93
(50, 100, 200);tanh;sgd;0.001;300;9.95;9.95
(50, 100, 200);tanh;sgd;0.001;500;9.95;9.95
(50, 100, 200);tanh;sgd;0.001;1000;9.95;9.95
(50, 100, 200);tanh;sgd;0.01;200;9.93;9.93
(50, 100, 200);tanh;sgd;0.01;300;9.93;9.93
(50, 100, 200);tanh;sgd;0.01;500;9.93;9.93
(50, 100, 200);tanh;sgd;0.01;1000;9.93;9.93
(50, 100, 200);tanh;sgd;0.1;200;9.93;9.93
(50, 100, 200);tanh;sgd;0.1;300;9.93;9.93
(50, 100, 200);tanh;sgd;0.1;500;9.93;9.93
(50, 100, 200);tanh;sgd;0.1;1000;9.93;9.93
(50, 100, 200);tanh;sgd;0.2;200;9.95;9.95
(50, 100, 200);tanh;sgd;0.2;300;9.95;9.95
(50, 100, 200);tanh;sgd;0.2;500;9.93;9.93
(50, 100, 200);tanh;sgd;0.2;1000;9.95;9.95
(50, 100, 200);relu;lbfgs;0.001;200;9.95;9.95
(50, 100, 200);relu;lbfgs;0.001;300;9.93;9.93
(50, 100, 200);relu;lbfgs;0.001;500;9.93;9.93
(50, 100, 200);relu;lbfgs;0.001;1000;9.95;9.95
(50, 100, 200);relu;lbfgs;0.01;200;9.93;9.93
(50, 100, 200);relu;lbfgs;0.01;300;9.95;9.95
(50, 100, 200);relu;lbfgs;0.01;500;9.93;9.93
(50, 100, 200);relu;lbfgs;0.01;1000;9.93;9.93
(50, 100, 200);relu;lbfgs;0.1;200;9.93;9.93
(50, 100, 200);relu;lbfgs;0.1;300;9.93;9.93
(50, 100, 200);relu;lbfgs;0.1;500;9.95;9.95
(50, 100, 200);relu;lbfgs;0.1;1000;9.93;9.93
(50, 100, 200);relu;lbfgs;0.2;200;9.93;9.93
(50, 100, 200);relu;lbfgs;0.2;300;9.95;9.95
(50, 100, 200);relu;lbfgs;0.2;500;9.93;9.93
(50, 100, 200);relu;lbfgs;0.2;1000;9.93;9.93
(50, 100, 200);relu;adam;0.001;200;9.93;9.93
(50, 100, 200);relu;adam;0.001;300;9.93;9.93
(50, 100, 200);relu;adam;0.001;500;9.95;9.95
(50, 100, 200);relu;adam;0.001;1000;9.95;9.95
(50, 100, 200);relu;adam;0.01;200;9.93;9.93
(50, 100, 200);relu;adam;0.01;300;9.95;9.95
(50, 100, 200);relu;adam;0.01;500;9.93;9.93
(50, 100, 200);relu;adam;0.01;1000;9.95;9.95
(50, 100, 200);relu;adam;0.1;200;9.84;9.84
(50, 100, 200);relu;adam;0.1;300;9.89;9.89
(50, 100, 200);relu;adam;0.1;500;9.95;9.95
(50, 100, 200);relu;adam;0.1;1000;9.95;9.95
(50, 100, 200);relu;adam;0.2;200;9.93;9.93
(50, 100, 200);relu;adam;0.2;300;9.91;9.91
(50, 100, 200);relu;adam;0.2;500;9.91;9.91
(50, 100, 200);relu;adam;0.2;1000;9.91;9.91
(50, 100, 200);relu;sgd;0.001;200;9.93;9.93
(50, 100, 200);relu;sgd;0.001;300;9.95;9.95
(50, 100, 200);relu;sgd;0.001;500;9.93;9.93
(50, 100, 200);relu;sgd;0.001;1000;9.93;9.93
(50, 100, 200);relu;sgd;0.01;200;9.93;9.93
(50, 100, 200);relu;sgd;0.01;300;9.93;9.93
(50, 100, 200);relu;sgd;0.01;500;9.93;9.93
(50, 100, 200);relu;sgd;0.01;1000;9.95;9.95
(50, 100, 200);relu;sgd;0.1;200;9.93;9.93
(50, 100, 200);relu;sgd;0.1;300;9.95;9.95
(50, 100, 200);relu;sgd;0.1;500;9.93;9.93
(50, 100, 200);relu;sgd;0.1;1000;9.93;9.93
(50, 100, 200);relu;sgd;0.2;200;9.93;9.93
(50, 100, 200);relu;sgd;0.2;300;9.93;9.93
(50, 100, 200);relu;sgd;0.2;500;9.93;9.93
(50, 100, 200);relu;sgd;0.2;1000;9.93;9.93
(200,);identity;lbfgs;0.001;200;9.98;9.98
(200,);identity;lbfgs;0.001;300;9.98;9.98
(200,);identity;lbfgs;0.001;500;9.98;9.98
(200,);identity;lbfgs;0.001;1000;9.98;9.98
(200,);identity;lbfgs;0.01;200;9.98;9.98
(200,);identity;lbfgs;0.01;300;9.95;9.95
(200,);identity;lbfgs;0.01;500;9.98;9.98
(200,);identity;lbfgs;0.01;1000;9.98;9.98
(200,);identity;lbfgs;0.1;200;9.98;9.98
(200,);identity;lbfgs;0.1;300;9.95;9.95
(200,);identity;lbfgs;0.1;500;9.98;9.98
(200,);identity;lbfgs;0.1;1000;9.98;9.98
(200,);identity;lbfgs;0.2;200;9.98;9.98
(200,);identity;lbfgs;0.2;300;9.95;9.95
(200,);identity;lbfgs;0.2;500;9.98;9.98
(200,);identity;lbfgs;0.2;1000;9.98;9.98
(200,);identity;adam;0.001;200;9.95;9.95
(200,);identity;adam;0.001;300;9.95;9.95
(200,);identity;adam;0.001;500;9.95;9.95
(200,);identity;adam;0.001;1000;9.95;9.95
(200,);identity;adam;0.01;200;9.95;9.95
(200,);identity;adam;0.01;300;9.95;9.95
(200,);identity;adam;0.01;500;9.95;9.95
(200,);identity;adam;0.01;1000;9.95;9.95
(200,);identity;adam;0.1;200;9.91;9.91
(200,);identity;adam;0.1;300;9.46;9.46
(200,);identity;adam;0.1;500;9.89;9.89
(200,);identity;adam;0.1;1000;9.95;9.95
(200,);identity;adam;0.2;200;9.61;9.61
(200,);identity;adam;0.2;300;9.64;9.64
(200,);identity;adam;0.2;500;9.95;9.95
(200,);identity;adam;0.2;1000;9.98;9.98
(200,);identity;sgd;0.001;200;9.91;9.91
(200,);identity;sgd;0.001;300;9.93;9.93
(200,);identity;sgd;0.001;500;9.93;9.93
(200,);identity;sgd;0.001;1000;9.93;9.93
(200,);identity;sgd;0.01;200;9.95;9.95
(200,);identity;sgd;0.01;300;9.95;9.95
(200,);identity;sgd;0.01;500;9.95;9.95
(200,);identity;sgd;0.01;1000;9.95;9.95
(200,);identity;sgd;0.1;200;9.95;9.95
(200,);identity;sgd;0.1;300;9.95;9.95
(200,);identity;sgd;0.1;500;9.95;9.95
(200,);identity;sgd;0.1;1000;9.95;9.95
(200,);identity;sgd;0.2;200;9.95;9.95
(200,);identity;sgd;0.2;300;9.95;9.95
(200,);identity;sgd;0.2;500;9.95;9.95
(200,);identity;sgd;0.2;1000;9.95;9.95
